ID	text	SDG
2155	In response to this growing concern, UNEP convened a conference, in March 1977, which adopted a World Plan of Action on the Ozone Layer and established a Coordinating Committee of the Ozone Layer  to guide future international action on ozone and periodically assess ozone depletion.	13
2156	Demonstrating a zero-tolerance approach to corruption and bribery at top management and leadership levels. Being aware of any improper advantage, for example when it comes to obtaining or retaining business.	16
2157	Proportion of population that feel safe walking alone around the area they live.	16
2158	Working with relevant public and private stakeholders to promote the management and protection of marine and coastal ecosystems in alignment with public policy objectives and this target.	14
2159	#18 on the Green Power Partnership Top 30 Tech & Telecom list (as of April 2022) Energy use from operations MWh 2 01920202021 Stationary combustion (natural gas and diesel)132,31 511 9,3 87126,484 Electricity 526,835482,119492,712 Transportation fleet 74,826 District cooling and heating (purchased) 4, 2243,3953,036E energy intensity (MWh/US$ million of net revenue)11	7
2160	The future of CO2 neutral transport : The Mercedes Benz GenH2 Truck A locally COffineutral long haul truck that measures up in every way to its diesel counterparts and also deliver s superior tractive power, range, and performance? Daimler Trucks presented the concept for such a vehicle in : The Mercedes Benz Gen Truck is due to be launched on the market as a series production vehicle in the second half of the decade	12
2161	In the first two-year Implementation Cycle following the WSSD, CSD-12 and CSD-13 focused on water, sanitation and human settlements and decisions related to these three thematic areas were adopted during the latter.Resolution 13/1, in particular identified the Policy options and practical measures to expedite implementation in water, sanitation and human settlements.	6
2162	OMV also conducts supplier audits that include sustainability elements	12
2163	As far as CSD-16 is concerned, on this occasion delegates were called to review implementation of the Mauritius Strategy for Implementation and the Barbados Programme of Action for the Sustainable Development of Small Island Developing States and the CSD-13 decisions on water and sanitation.	6
2164	Hours of training Total number of hours of training that an employee has had, both in house and externally	8
2165	In identifying potential risks of material misstatement due to fraud and noncompliance with laws and regulations, we evaluated the Company's risk assessment , hard inquiries with management , those charged with governance and others within the group, including but not limited to, inhouse legal teams, compliance officers, internal audit and financial reporting teams	16
2166	Improving own understanding of the burden of unpaid care and domestic work for employees. Recognize the value of unpaid care and domestic work through having flexible working hours that allows employees accommodate their different work commitments.	5
2167	By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value 	8
2168	In the least developed countries, more than two thirds of primary schools do not have access to electricity, with even lower rates of Internet access and computer availability for pedagogical purposes in schools.	4
2169	Gender disaggregation for wastewater will not be possible since data on use of sanitation facilities is derived from household surveys. Measurement of treatment of wastewater from on-site sanitation is specifically included to respond to equity issues as approximately two thirds of all sanitation is on-site and predominantly used by poorest wealth quintiles who are seldom served by a sewer connection. Unsafe disposal of wastewater in disproportionately affects the poorest who are more likely to reside in affected areas. 	6
2170	Target 2023 10% of environmental load points of crop protection pro ducts per hectare compared to 2017/2018	2
2171	3)The High-level Segment was held from 28 to 30 of April and saw the participation of over 100 Ministers.	6
2172	For the next nine years, the United Nations (UN) Sustainable Development Goals (SDGs) represent a shared and universal commitment to deliver on ambitious Global Goals for people and the planet	17
2173	the solar industry expands, the potential for decent employment rises throughout the renewable energy supply chain, and the development, construction, and operational stages of solar PV plants	9
2174	Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 	1
2175	of our employees, minimum wages or salaries are fixed by law or agreed through collective bargaining agreements	8
2176	is run by ScottishPower the group's UK subsidiary, which is currently the only 100% renewable electricity company in the country	7
2177	Supporting the integrated ‘source-to-sea’ approach of coastal management and the protection of the environmental integrity from watershed to coastal area, especially in Small Island Developing States.	14
2178	Fishery Subsidies is detrimental to fishery stock because of unsustainable fishing. Fishery stock is depleting because of the human intervention. This may lead to massive harmful effects on mankind because of the booming of Jellyfish. Fishery Subsidies has been identified as the key factor for the depletion of species across the globe because of rising industrial fishing. There has been a great divide between developed and developing countries in terms of providing fishery subsidies over the last few decades it has far-reaching consequences on industrial and artisanal fishing. The objective of the study is to show that rising fishery subsidy has led to increasing the threatened species in both developing and the developed countries. The study runs OLS regression models to justify the objectives.	14
2179	Taking a life-cycle approach when investing, developing, managing and retrofitting infrastructure. Performing social, economic and environmental impact assessments on the whole lifecycle of the infrastructure, and using these impact assessments as the basis for supply chain choices and interactions with stakeholders.	9
2180	Danone is committed to ensure full transparency across the entire supply chain, promote sourcing from deforestation-risk-free zones and encourage the use of local crop alternatives to imported soy	15
2181	Large format printing The newest waterbased HP Latex Ink qualifies for a range of certifications for health and environmental performance	6
2182	Water Responsible Supply Chain Data Centers Energy & GHG Emissions Ensuring efficient use of energy and transitioning to renewable energy sources in order to reduce GHG emissions across Facebook (data centers, facilities, employee travel)	6
2183	The new governance structure was approved to improve dialogue with specific obligations of member dairy farmers on specific topic clusters and was approved and is getting positive feedback	2
2184	Discussions at each session opened with multi-stakeholder dialogues, in which major groups were invited to make opening statements on selected themes followed by a dialogue with government representatives.	2
2185	Energy intensity measured in terms of primary energy and GDP.	7
2186	Globally, labour productivity has increased and the unemployment rate has decreased.	8
2187	6 million cubic meters (416 million gallons) of water remains in the river during the hottest months of the year for a 10 year period	6
2188	Danone is an active member of the HeForShe movement and LEAD network	17
2189	Furthermore, crucial aspects of decent work are broadly rooted in the targets of many of the other 16 goals.	8
2190	The Agenda point out that increases in global temperature, sea level rise, ocean acidification and other climate change impacts are seriously affecting coastal areas and low-lying coastal countries, including many least developed countries and small island developing States.	13
2191	Respecting the right of all people, including small-holder farmers and indigenous peoples, to own, use, develop and control the lands, territories and resources that they possess by reason of traditional ownership or other traditional occupation or use, as well as those which they have otherwise acquired.	2
2192	"For all these reasons, ending poverty in all forms everywhere requires the entire global community to get involved. Hence why the United Nations (UN) set this as SDG 1 of its 17 Sustainable Development Goals, approved in September 2015 as part of the 2030 Agenda.

"	1
2193	"  ScottishPower — the group's UK subsidiary — is working with ReachingWider, an association to provide higher education for vulnerable people in Wales, and with Bendrigg Trust, an open-air education nursing home to care for people with disabilities through the Adventure for All project.

"	1
2194	Proportion of domestic and industrial wastewater flows safely treated 	6
2195	In the 2030 Agenda for Sustainable Development, Member States express their commitment to protect the planet from degradation and take urgent action on climate change.	13
2196	Tertiary educational attainment, Early school leavers, adult learning, early childhood educaion adults with at least basic digital skills, low achievers in reading, low achievers in mathematics, low achievers in science 	4
2197	SDG 8 covers conventional economic policy goals like GDP growth and employment for which governments established agencies compiling the relevant data long ago. Since many years, national and international research institutes engage in forecasting economic activity to provide guidance for economic policy. The goals summarised in SDG 8, however, go also beyond conventional economic indicators, extending them to inclusive and sustainable growth and decent work for all. Indicators reflecting a broader view on the labour market, like the “inactive population due to caring responsibilities” or covering information on “people killed in accidents at work” or the “work at-risk-of-poverty rate” now complement traditional economic variables. Some of these indicators, however, are published with considerable time lag and there is not yet an established regular forecasting process covering them. The lack of timely information became obvious in the light of the COVID-19 pandemic, as the lockdown measures, necessary to confine the spread of the virus, did not only create a steep decline in economic activity but also had consequences on the amount of caring responsibilities within families, when schools switched from class room to digital teaching. In addition to the negative consequences for employment, the sharp economic downturn also weighed on working income due to the reduction in working hours or the partial income loss associated with short-time work schemes. The strong interaction between labour market data and the disposable income of private households creates synergies between the nowcasting of key and multipurpose indicators in SDG 8. Whereas the rapid design and implementation of fiscal policy measures has been supported by nowcast information based on very high-frequency data , up-to-date indicators highlighting beyond GDP goals have only been partially available. Especially ecological indicators are published with a delay, which impedes timely monitoring and quick policy intervention.	8
2198	Projects range from typical business digital transformation of energy sector companies,CSR activities to support female leadership in the energy sector	5
2199	An assessment of rivers, lakes and aquifers of 89 countries and territories in 2020 indicates that the water quality of 72 per cent of the water bodies assessed is good.	6
2200	For more initiatives related to SDG 3, see our efforts to support clean water and sanitation by safeguarding the world's water resources (SDG 6)provide complimentary connectivity to quarantine centers in India (SDG 9), install smart water meters in hospitals in South Africa (SDG 11), and halt cyberattacks targeting the healthcare sector during the coronavirus pandemic (SDG 17)	3
2201	The conference aimed at appraising two decades of progress since Habitat I and at identifying fresh goals for the new millennium.	11
2202	SDG 12: Responsible Consumption and Production SDG 12: Responsible Consumption and Production Humanity's current consumption and production patterns are unsustainable in the long run	12
2203	Several farms and producer organisations have employees that test positive for COVID and are hospitalized or quarantined, helping them and their families through an emergency support fund	3
2204	The importance of women's rights to land in ending poverty, achieving dignity for all and reducing gender based discrimination and violence is reflected in the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW). The principles of universal access to basic rights of shelter, access to productive resources required for subsistence and livelihoods, and indigenous peoples' land-related cultural and territorial rights are also incorporated in a wide range of international declarations and covenants including the UN Declaration on the Rights of Indigenous Peoples (UNDRIP); ILO Convention Number 169 concerning indigenous and tribal peoples in independent countries, the International Covenant on Economic, Social and Cultural Rights (adopted in 1966, in force since 1976); the African Charter on Human and People's Rights (1987), the American Convention on Human Rights, and the European Convention for the protection of Human Rights. 	1
2205	Data for this indicator should be disaggregated by ground of discrimination, relationship with the person or entity felt to have discriminated (employer/employee, public official or employee, private enterprise, teacher/student, etc.), and place where the discrimination occurred (work, street, home, school, etc.). 	10
2206	Active transport, such as walking and bike riding, can greatly contribute to improving population health, the environment and the economy	11
2207	We test innovations and scale those that work , focusing on: New business models and ventures	9
2208	At this conference, countries agreed to initiate or intensify domestic preparation for their intended national contributions towards that agreement.	13
2209	Implement the commitment undertaken by developed country parties to the United Nations Framework Convention on Climate Change to a goal of mobilizing jointly $100 billion annually by 2020 from all sources to address the needs of developing countries in the context of meaningful mitigation actions and transparency on implementation and fully operationalize the Green Climate Fund through its capitalization as soon as possible 	13
2210	Percentage of population in a given age group achieving at least a fixed level of proficiency in functional  numeracy skills, by sex.	4
2211	How we are promoting a charging infrastructure for our employees In or der to make electric mobility more appealing to our employees, we are continually expanding the charging infrastructure at our own locations	7
2212	85 Biodiversity (number of member dairy farmers compensated for improvements) 1,0 0 0 1,018 Recyclable packaging (percentage suitable for sorting and recycling systems) 9 0	12
2213	Identifying risks of adverse impacts on children’s rights throughout their supply chain and ensuring suppliers do not employ children. Requiring suppliers to prove this, through audits or other documentation demonstrating that robust mechanisms are in place for respecting children’s rights.	16
2214	Employee commuting now includes telecommuting, or work from home, emissions starting in 2020, for which the electricity portion is matched with renewable energy	8
2215	Similarly, domestic material consumption per capita increased by more than 40 per cent, from 8.7 metric tons in 2000 to 12.2 metric tons in 2017.	12
2216	Energy availability supports the realization of all Sustainable Development Goals economic growth for high-energy societies. The chapter emphasizes the importance of essential concepts for an energy transition, including net energy, energy footprint, energy density, rebound, and sufficiency. These concepts can be used to guide the formulation of targets that account for embeddedness of human energy systems within the broader earth communities, and thus more fundamentally consider what is needed to ensure energy for all.	7
2217	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	8
2218	Mobilize additional financial resources for developing countries from multiple sources 	17
2219	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse 	12
2220	FRUIT FOR THOUGHT Once upon a time, we started out as pioneers in the fairtrade industry	9
2221	Tracking and reporting GHG emissions over time, implementing climate change mitigation measures in own operations and providing goods/services that help their users to reduce emissions.	14
2222	Globally, in 2019, 54 per cent of the 111 Governments with data reported having instituted a comprehensive set of policy measures to facilitate orderly, safe, regular and responsible migration and mobility of people, which means that they have reported having policy measures in place for at least 80 per cent of the subcategories that make up the six policy domains of this indicator.	10
2223	By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly 	2
2224	Providing health-care options to female employees, encouraging healthy lifestyles and providing decent working conditions. Providing services, resources and information to help employees to fulfill their roles as persons with reproductive rights,	3
2225	Enforcing mechanisms such as robust age verification methods to ensure children under minimum working age are not recruited and implementing labor inspection to identify the existence of child labor and any adverse impacts on children’s rights.	16
2226	Extending responsibility to the post-consumer stage of a product’s lifecycle, including collecting or taking back used goods, sorting or treating for recycling or reuse.	12
2227	A central instrument of German engagement is the BMZ special initiative ONE WORLD – No Hunger – around a third of the funds flow into this initiative.	2
2228	Danone Communities works on alleviating malnutrition, making drinking water safe, to break the cycle of poverty where it operates. Danone Communities supports social entrepreneurs active in fighting malnutrition and developing access to drinking water, two levers for reducing poverty (learn more).	1
2229	Improving access to medicine and health-care through reducing cost of medicine and health technologies through, for example, de-linking the cost of research and development from price, improving collaboration and removing restrictive intellectual property measures on life saving medicines.	3
2230	This is particularly poignant among business conducted in international waters where policy regulation and enforcement are poorly management	14
2231	By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally 	15
2232	Measures: Number of athletes and young leaders supported by the IOC in sustainability projects Number of Olympians, role models and influencers supported by the IOC in sustainability projects and education Feedback and continuous dialogue Sustainability is a continually evolving and changing process	4
2233	Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.	5
2234	While great efforts are being made to expand sustainable forest management, increase coverage of key biodiversity areas and sign up t o legislation and treaties for protecting biodiversity and ecosystems, much more needs to be done to put the health of the planet at the centre of all plans and policies.	15
2235	Communicating the implications of relevant laws to employees through policies and trainings.	16
2236	Our impact Managing water use Access to clean, fresh water is a critical human need, and one that is threatened by climate change	6
2237	Proportion of population living below the national poverty line, by sex and age.	1
2238	Discriminatory laws and legal gaps continue to prevent women from fully enjoying their human rights.	5
2239	Partnering with other stakeholders to develop or reform agrarian systems to achieve sustainable management of natural resources.	2
2240	Perceived security of tenure: We define perceptions of tenure to be secure if individual or households do not feel a threat of being deprived of legitimately acquired use or ownership rights to land or of these rights being disputed by others (either the Government of individuals). Perceived security is important in settings where formal documentation does not exist or where, largely due to gaps in institutional quality or the transparency with which land records are administered, formal documents may not increase tenure security. It is thus an important complement to the above indicator with recognition that methodological study of the extent to which perceptions can be captured will be desirable. 	1
2241	Launching Now and Next Building on the achievements of the past year, from training 100 percent of our designers in our Circular Design Principles to implementing water stress mitigation plans at all relevant sites, the launch of our new sustainability strategy, Now and Next, was an important step for us	6
2242	The importance of sustainable tourism, as a driver for jobs creation and the promotion of local culture and products, is also highlighted in Sustainable Development Goal target 12.b.	8
2243	Responsibly engaging in climate policy: Identifying implications, influences, and opportunities to engage	13
2244	More investment is needed – in education , in sustainable agriculture , in infrastructure and in local value creation .	2
2245	By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality 	2
2246	However, variation among countries is still wide, with values ranging from 9 to nearly 100 per cent.	4
2247	Within business activities, upholding the human right to freedom of expression and information, also by having a robust complaint system or grievance mechanism to record, log and resolve issues. Recording expressions of dissent by type, issue, scale and response, and referring to methods based on dialogue and engagement with a view to seek agreed solutions. Communicating this information externally (without compromising the privacy of complainers nor commercial confidentiality), to transfer knowledge of best practices, remediation of complaints and lessons learned. Understanding the number of substantiated complaints regarding breaches of customer privacy and losses of customer data.	16
2248	Adopted on the occasion of the Third Intergovernmental Review Meeting , the Manila Declaration reaffirmed signatories' commitment to develop policies to reduce and control waste water, marine litter and pollution from fertilizers.	14
2249	By proclaiming in 1994, 16 September, the International Day for the Preservation of the Ozone Layer, the UN GA wanted to commemorate the date the Montreal Protocol was signed in 1987.	13
2250	Climate neutral products In 2019, we began offering our customers the option of procuring climate neutral gas	7
2251	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms 	8
2252	Aimed at reducing production and consumption of ozone depleting substances, the Montreal Protocol on Substances that Deplete the Ozone Layer contains an adjustment provision enabling Parties to the Protocol to quickly respond to new scientific information and accelerate the reductions required on chemicals already covered by the Protocol.	13
2253	Respecting employees’ rights to a standard of living adequate for their and their families’ health and well-being, including social protection systems.	1
2254	By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally.	15
2255	Reporting business’ governance structure information (such as the number of board meetings and attendance rates, the highest governance body’s role in the identification and management of environmental and social impacts, and the highest governance body’s role in the implementation of due diligence processes).	16
2256	Eliminate deforestation impacts from its supply chain by end of 2020	15
2257	Proposed disposition of unappropriated earnings The Board of Dire cto rs proposes to the Annual General Meeting that no dividend be paid	16
2258	Overall, progress remains insufficient in the food and agriculture domain, suggesting that the related SDG targets are beyond reach at a global level, unless corrective actions are urgently taken.	2
2259	Amount in United States dollars committed to public-private partnerships for infrastructure.	17
2260	Coastal habitats play a vital role in mitigating the effects of sea level rise, through increasing sediment accretion rates and thus surface elevation.	14
2261	Increasing the cyber security of the Dutch business community also requires scalable and accessible solutions	9
2262	Our policies reflect our commitment to have a positive impact including: the Responsible Business Alliance Code of Conduct, which sets out standards on labor, environment, health and safety, ethics, and management systems; Facebook's Anti Slavery and Human Trafficking Statement; and Facebook's Conflict Minerals Policy	8
2263	Adopted at COP7 in 2004, the Statement recognizes the environmentally sound management of hazardous wastes as part of the wider issues of water protection, improved sanitation, solid waste management and economic and social development.	12
2264	Assessing soil and land degradation risk. Preventing soil contamination from all sources. Rebuilding soil structure and restoring topsoil to historic depths.	15
2265	The above consultation concluded that post-2015 targets, which apply to all countries, should go beyond the basic level of access and address indicators of safe management of sanitation services, including dimensions of accessibility, acceptability and safety. The Expert Working Group called for analysis of faecal waste management along the sanitation chain, including containment, emptying of latrines and septic tanks, and safe on-site disposal or transport of wastes to designated treatment sites. 	6
2266	Raising standards with service providers in Africa We are making social sustainability and human rights part of how we do business with third party service providers in Africa	17
2267	SDG 14: Life Below Water SDG 14: Life Below Water Billions of people around the world rely on aquatic life for food, resources, and employment	14
2268	Although sustainability has been a growing topic in sport over the last three decades, it is only in these recent years that it has become a mainstream consideration	11
2269	Inequality in its many forms is a significant global challenge, although progress has been made towards reducing relative income inequality in some countries. 	10
2270	This includes the following categories in Scope 3: upstream and downstream transportation and distribution, waste generated in operations, upstream leased assets, use of sold products, and end of life treatment of sold products 13 Notes on Facebook's 2020 water withdrawal: (a) 17% is recycled water, 1% is ground and offsite water, and the remainder is provided by local utilities	6
2271	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws 	5
2272	Households account for about a quarter of final energy consumption. At home, people use energy in particular for heating, cooling, cooking, lighting, sanitary purposes and appliances. The level of household energy consumption mainly depends on outdoor temperatures, energy performance of buildings, use and efficiency of electrical appliances, and behaviour and economic status of inhabitants (for example, their desired or affordable level of thermal comfort, frequency of clothes washing, use of TV-sets, games and lighting preferences). 	7
2273	The health of the region’s oceans has steadily declined since the SDGs were launched, and life below water continues to be depleted at alarming rates.	14
2274	The Commission recognizes that mountain ecosystems and environments are of crucial importance as rich and unique centres of biological and cultural diversity, water stores and sources of minerals and at the same time stresses on the fragility of mountain ecosystems and the adverse impact of the degradation of those systems on highland and lowland populations.	15
2275	Statistical capacity indicator for Sustainable Development Goal monitoring.	17
2276	Population using a basic drinking water source ('improved' sources of drinking water used for MDG monitoring i.e. piped water into dwelling, yard or plot; public taps or standpipes; boreholes or tubewells; protected dug wells; protected springs and rainwater) which is located on premises and available when needed and free of faecal (and priority chemical) contamination. 	6
2277	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes 	3
2278	Power Of our products from plug to port, guided by our product power goal meet this challenge, we continue to explore ways to reduce the overall resistance in our components through the use of more conductive materials, and we continue to conversion technologies to improve Cooling The ways we cool our products	9
2279	Product repair, reuse, and recycling Supply Chain Management CH 430a	12
2280	However, as one of the sectors hardest hit by the pandemic, a reversal in this trend is expected for 2020 and the coming years.	8
2281	Trends in the area of ocean health are, however, mixed. While the share of coastal bathing sites with excellent water quality has increased in the EU Member States, trends in the share of EU marine waters affected by eutrophication cannot be assessed due to strong annual fluctuations. Due to the absorption of carbon dioxide (CO2) into the world's oceans, the mean surface seawater acidity continues to increase, and in 2020 reached a new unprecedented high over pre-industrial levels. 	14
2282	4: Sustainable food production and resilient agricultural practices	2
2283	Monitoring worker’s well-being and making this information publicly accessible.	8
2284	Healthy building materials How do we build with health in mind? At VolkerWessels we first of all look a t the core of our activities: the materials we build with	9
2285	Progress update since November 2019 In Lausanne,the amount of non recycled office waste produced in 2020 was relatively low compared to previous years at 29 kilograms (kg) per Full Time Equivalent (FTE), mostly due to the low occupancy of our offices during the COVIDfi19 crisis	12
2286	With the help of new technologies, we are consistently reducing the CO2 emissions of our refineries and our oil and gas production	13
2287	participation in community impact new approach that celebrates all the ways employees take positive critical social and environmental issues, supporting vulnerable communities, advocating for causes that matter, acting for inclusion, and living sustainably	11
2288	Human rights 1 The term ﬁforced laborﬂ refers to situations in which people are coerced to work against their will, either overtly through violence or intimidation, or by more subtle means such as accumulated debt, retention of identity papers, and threats of denunciation	16
2289	The adoption of this methodology will allow - over time - the more refined measurement of energy access, making it possible to report more disaggregated information regarding the type of electricity supply (grid or off-grid), the capacity of electricity supply provided (in Watts), the duration of service (daily hours and evening hours), the reliability of service (in terms of number and length of unplanned service interruptions), the quality of service (in terms of voltage fluctuations), as well as affordability and legality of service. Another advantage of this approach is that they can be applied not only to measuring energy access at the household level, but also its availability to support enterprises and deliver critical community services, such as health and education. 	7
2290	Achieving inclusive and equitable quality education for all will require increasing efforts, especially in sub-Saharan Africa and Southern Asia and for vulnerable populations, including persons with disabilities, indigenous people, refugee children and poor children in rural areas.	4
2291	Integrating corporate goals and targets related to biodiversity and ecosystem services into corporate policies, risks- and opportunity assessments and in supply chain management.	15
2292	"The JPOI first mentions technology in its paragraph 4 when it identifies technology transfer as one of the areas in continued need ""for a dynamic and enabling international economic environment supportive of international cooperation"" to reduce the gap between developed and developing countries."	17
2293	Q Canyon describe your sustainability work and the agenda going forward?A For OptiGroup, it is a central feature that we help our customers to minimise their operations climate impact and to continue to work for a sustainable value chain	9
2294	The 2014 UNESCO World Conference on Education for Sustainable Development  was held in Aichi- Nagoya, Japan from 10 to 12 November 2014.	4
2295	AllImagesMapsNewsVideosMoreSettingsToolsAbout 317,000,000 results Did you mean: translateEnglishSpanishThe potential of finance to reduce inequalities – the goal of SDG 10 – through the facilitation of economic opportunity is well known. Nevertheless, institutional voids may undermine this potential to abate inequality. Sustainable banking can bridge these institutional failures. We provide empirical evidence drawn from a database of 46 developed and developing countries over the period 2010-2017. We find that sustainable banking reduces income inequality within countries with weak formal institutions. These findings contribute to the literature by providing novel insights into the sustainable banking-income inequality abatement nexus, and the crucial influence of institutional quality on this linkage.	10
2296	More Curiosity more future: This has been the motto of the Genius Daimler young knowledge community STEM education initiative for more than ten years	4
2297	Technology and digital skills We invest in technical and digitall skill capabilities across HP to fuel our future productivity product development, and technology innovation strategies, in support of our company's transformation strategy In 2021, we continued our focus on HPs digital literacy cam pa ign, Speak Digital, to increase employees knowledge of digital technologies and emerging trends i n customer experience and innovation	4
2298	In addition to water stress, countries and territories are facing growing challenges linked to water pollution, degraded water-related ecosystems, water scarcity caused by climate change, and a lack of cooperation on transboundary waters.	6
2299	The number of people suffering from physical injuries, trauma or cases of disease requiring immediate medical assistance as a direct result of a hazardous event. The number of people who temporarily moved from where they were (including their place of residence, work places, schools and hospitals) to safer locations in order to ensure their safety. The number of people who moved permanently from their homes to new sites due to hazardous event. Note: This definition excludes preventive relocation before the event. 	1
2300	Engaging responsibly in policy-making processes and, by doing so, increasing societal trust in public institutions.	16
2301	Local sourcing of agricultural ingredients in Africa: 50% increase in volume Over the past decade, our local sourcing projects in Africa have helped create jobs, supported the sustainable development of the agricultural sector and improved the lives of rural communities	11
2302	HP Recycling Services offers custom recycling programs for commercial and enterprise customers, which include reverse logistics and data sanitization with a certificate if they purchase that service	12
2303	An example is the partnership between Deloitte and the Ocean Cleanup. By sharing Deloitte’s knowledge and expertise, Deloitte can support The Ocean Cleanup to further professionalise their organisation and oper	14
2304	Proactive DRR strategies will address climate change impact and enhance resilience of nations. Resilient infrastructures will be critical part of such strategies because infrastructures such as health, education, road and other critical infrastructures will have direct impact on reducing inequality and making growth more inclusive. 	13
2305	TopicAccounting metricUnitCodeDisclosureRe Greenhouse gas emissions Gross global Scope 1 emissions ercentage covered under emissions limiting regulations Kt CO2e; %RTCP110a	13
2306	Despite significant progress over the past decade on improving access to electricity, increasing renewable energy use in the electricity sector and improving energy efficiency, the world is still falling short in providing affordable, reliable, sustainable and modern energy for all.	7
2307	The United Nations have been working together with stakeholders in order to develop a more coordinated plan of action at global level to ensure progress on sustainable energy for all.	7
2308	Together with our farmers, we make an effort to use water footprints calculated in Peru in 2013 and in the Dominican Republic in 2017	12
2309	Development of participation in crop registration in percentage ( hectare/hectare)	2
2310	The development of a procurement risk analysis framework and further training and education of staff and our network of advisors are additional key areas that will facilitate our sustainability principles and practices being applied consistently across all our operations	8
2311	Evaluating the impacts of sourcing and packaging practices on ecosystem degradation and biodiversity loss.	15
2312	Short term, the continued functioning of economy and the well being of families and individuals remains a high priority for all of us	3
2313	Globally, the number of refugees reached its highest level on record in 2020.	10
2314	HR Strategy 2025 We view our selves as our employees partners Our employees are the key to our Gr oups success: Around, people promote our companys success worldwide by contributing their expertise and ideas to our work processes and by helping to make impr ovements and cr eate innovations	8
2315	As a leading specialist investment and asset manager in the solar sector, NECs key activities contribute to the development of quality, reliable, sustainable and resilient infrastructure	7
2316	It was acknowledged that fundamental changes in the way societies produce and consume are indispensable for achieving global sustainable development.	12
2317	Although of epidemic proportions, violence against children often remains hidden and socially condoned.	16
2318	In household surveys access to sanitation facilities is measured at the household level and in most cases in not possible to disaggregate to accurately measure intra-household inequalities such as sex, age, or disability. Novel data sources, like rapid assessment methods, or crowd-sourced data could be utilized to see intra-household disparity in access or gender discrimination on the use of safe management of sanitation services. 	6
2319	39 Our people continued key target of our sustainability action plan, This is Forward, is to ensure that at least 40% of our management positions (senior management and above) are held by women by 2025	5
2320	also helped government bodies, healthcare providers, and educators modernize their IT infrastructures and deliver their services remotely keeping them prepared for whatever comes proximity in shared spaces and securely manage data for facial recognition and contact tracing	3
2321	com/sustainability 11 Partnering with the world's leading authority on the circular economy We became a Strategic Partner of the Ellen MacArthur Foundation because we wanted a partner to challenge us, help us drive design and innovation and further embed circular economy thinking into our business in new ways	9
2322	We already do a lot to promote circularity in our operations reusing spent grains in animal and human food sources, recovering biogas and organic fertiliser through our wastewater sludge, recycling water within our breweries and increasing our returnable bottles	12
2323	Disparities in access to education and learning outcomes persist across a range of education indicators.	4
2324	Understanding waste generated due to the use of the own products and services. Extending the responsibility for an own product to the post-consumer stage, including waste collection, reuse and recycling.	14
2325	Our immediate plan includes a focus on activities such as eliminating virgin oil based PET from packaging and switching to recycled plastic, reducing the weight of our packaging, and innovating in refillable packaging and dispensed technology	9
2326	In 2020, wasting  may also rise in some countries and territories where unhealthy foods replaced fresh, nutritious foodstuffs and restrictions on movement constrained opportunities for physical activity for long periods.	2
2327	The Dubai Declaration on International Chemicals Management is part of the Strategic Approach to international Chemicals Management .	12
2328	Assessing impacts on water AAAQ and quality and WASH services through methods including stakeholder engagement, basin assessment and quantitative methods.	6
2329	"Sustainable Development Goal Target 17.16 aims to ""Enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in all countries, in particular developing countries""."	17
2330	In addition, WHO's Household energy database includes country data from thirty countries on the time spent by children collecting fuelwood and water disaggregated by sex. With the improvements in data collection via the aforementioned survey harmonization process, data will be available reporting time spent exclusively on fuel collection rather than in combination with water collection. 	7
2331	Civil proceedings regarding diesel emissions: US authorities approve settlement During the reporting year, Daimler AG and its subsidiary Mer cedesBenz USA LLC (MBUSA) took another important step towar d legal certainty in connection with various diesel related proceedings in the United States	16
